"","userID","age","sex","edu","major","work","IAT","self","HPC","perf","impr"
"754","U755",25,"F","High",FALSE,TRUE,28,2,8,52,5
"755","U756",38,"M","GradO",TRUE,TRUE,31,3,15,56,-1
"756","U757",31,"M","GradO",FALSE,TRUE,23,1,6,60,-4
"757","U758",22,"M","Univ",FALSE,TRUE,30,5,12,48,8
"758","U759",25,"F","GradO",FALSE,FALSE,30,4,18,54,1
"759","U760",30,"M","High",FALSE,TRUE,21,2,13,52,0
"760","U761",25,"F","UnivO",FALSE,TRUE,33,3,14,54,1
"761","U762",31,"F","Univ",FALSE,TRUE,43,1,10,58,-7
"762","U763",24,"M","UnivO",FALSE,TRUE,25,5,7,56,-3
"763","U764",29,"F","HighO",FALSE,FALSE,25,4,14,59,-3
"764","U765",25,"F","Grad",FALSE,TRUE,35,2,18,54,0
"765","U766",31,"M","Univ",FALSE,TRUE,38,3,13,49,4
"766","U767",23,"F","HighO",FALSE,TRUE,18,1,9,52,2
"767","U768",29,"M","Univ",FALSE,FALSE,35,5,5,53,3
"768","U769",32,"M","High",FALSE,TRUE,34,4,9,55,-4
"769","U770",26,"M","Univ",FALSE,TRUE,16,2,14,58,-12
"770","U771",45,"M","Univ",FALSE,TRUE,27,3,18,52,5
"771","U772",36,"F","UnivO",FALSE,FALSE,28,1,11,53,6
"772","U773",46,"F","High",FALSE,TRUE,38,5,13,57,-4
"773","U774",27,"F","Univ",FALSE,FALSE,38,4,10,48,7
"774","U775",31,"M","High",FALSE,TRUE,17,2,10,56,-6
"775","U776",31,"M","UnivO",FALSE,FALSE,16,3,10,56,0
"776","U777",27,"M","Univ",FALSE,FALSE,37,1,7,51,-1
"777","U778",27,"M","Univ",FALSE,TRUE,25,5,16,50,2
"778","U779",28,"M","UnivO",FALSE,TRUE,40,4,12,63,-13
"779","U780",26,"M","GradO",FALSE,TRUE,26,2,7,50,2
"780","U781",20,"F","Univ",FALSE,FALSE,20,3,14,42,9
"781","U782",24,"M","High",FALSE,TRUE,39,1,11,52,2
"782","U783",24,"F","HighO",FALSE,TRUE,34,5,10,50,-1
"783","U784",26,"F","Univ",FALSE,TRUE,25,4,8,60,-8
"784","U785",27,"F","Univ",FALSE,FALSE,27,2,6,57,-3
"785","U786",30,"F","GradO",FALSE,FALSE,32,3,12,53,-5
"786","U787",43,"F","High",FALSE,TRUE,26,1,6,47,6
"787","U789",32,"F","High",FALSE,TRUE,34,4,17,56,-6
"788","U790",24,"F","Grad",TRUE,TRUE,27,2,14,55,2
"789","U791",35,"M","UnivO",FALSE,FALSE,35,3,14,50,1
"790","U792",26,"M","UnivO",FALSE,FALSE,28,1,10,49,7
"791","U793",31,"F","Univ",FALSE,FALSE,34,5,5,52,0
"792","U794",29,"F","Univ",FALSE,TRUE,29,4,13,61,-13
"793","U795",33,"M","HighO",FALSE,TRUE,26,2,14,44,6
"794","U796",24,"F","GradO",FALSE,FALSE,34,3,7,53,2
"795","U797",31,"F","Univ",FALSE,TRUE,16,1,15,57,-7
"796","U798",42,"F","High",FALSE,FALSE,31,5,8,48,9
"797","U799",25,"F","High",FALSE,FALSE,35,4,13,49,7
"798","U800",45,"M","Univ",FALSE,TRUE,25,2,15,53,0
"799","U801",24,"M","GradO",FALSE,TRUE,18,3,6,55,-4
"800","U802",47,"F","UnivO",FALSE,TRUE,20,1,7,58,-3
"801","U803",29,"M","UnivO",FALSE,TRUE,31,5,7,55,-3
"802","U804",26,"M","High",FALSE,TRUE,27,4,8,57,-5
"803","U805",26,"M","High",FALSE,FALSE,35,2,12,45,8
"804","U806",28,"F","Univ",FALSE,TRUE,30,3,11,58,-4
"805","U807",24,"M","Univ",FALSE,TRUE,22,1,13,54,-1
"806","U808",29,"F","UnivO",FALSE,FALSE,34,5,11,52,-1
"807","U809",31,"F","Univ",FALSE,TRUE,15,4,7,59,-1
"808","U810",30,"M","Univ",TRUE,TRUE,40,2,6,59,-2
"809","U811",28,"F","Univ",FALSE,TRUE,27,3,10,50,3
"810","U812",27,"M","Grad",FALSE,TRUE,15,1,9,61,-9
"811","U813",23,"M","UnivO",FALSE,FALSE,30,5,8,46,7
"812","U814",29,"F","High",FALSE,TRUE,34,4,8,54,-3
"813","U815",24,"M","UnivO",FALSE,FALSE,27,2,5,50,-2
"814","U816",25,"M","Grad",FALSE,TRUE,30,3,9,66,-12
"815","U817",25,"F","Univ",FALSE,TRUE,34,1,8,53,-2
"816","U818",37,"F","Univ",TRUE,TRUE,26,5,17,53,3
"817","U819",28,"F","Univ",FALSE,TRUE,26,4,20,51,-2
"818","U820",30,"F","GradO",FALSE,FALSE,27,2,5,45,7
"819","U821",25,"F","Grad",FALSE,TRUE,27,3,14,64,-11
"820","U822",27,"M","UnivO",FALSE,TRUE,24,1,6,57,-8
"821","U823",25,"F","GradO",FALSE,FALSE,42,5,9,58,-4
"822","U824",26,"M","High",FALSE,TRUE,31,4,14,56,-3
"823","U825",24,"M","Univ",FALSE,TRUE,20,2,5,53,-2
"824","U826",32,"M","Grad",TRUE,TRUE,31,3,11,50,3
"825","U827",24,"F","UnivO",FALSE,TRUE,15,1,8,53,3
"826","U828",27,"M","Univ",FALSE,TRUE,25,5,13,52,1
"827","U829",27,"M","High",FALSE,TRUE,26,4,13,62,-11
"828","U830",30,"F","High",FALSE,TRUE,30,2,6,50,3
"829","U831",26,"M","UnivO",FALSE,FALSE,26,3,6,55,0
"830","U832",41,"M","High",FALSE,TRUE,26,1,12,56,-3
"831","U833",41,"M","Univ",FALSE,TRUE,25,5,9,59,-11
"832","U834",23,"M","High",FALSE,FALSE,28,4,6,49,8
"833","U835",24,"M","Univ",FALSE,TRUE,28,2,15,51,3
"834","U836",29,"F","UnivO",FALSE,TRUE,33,3,12,50,6
"835","U837",32,"M","Univ",FALSE,FALSE,31,1,20,45,8
"836","U838",27,"F","High",FALSE,FALSE,31,5,10,50,2
"837","U839",29,"F","Univ",FALSE,FALSE,22,4,13,48,2
"838","U840",30,"M","Univ",FALSE,TRUE,44,2,14,58,-5
"839","U841",27,"M","Univ",FALSE,TRUE,24,3,7,55,-3
"840","U842",29,"M","GradO",FALSE,FALSE,31,1,10,49,4
"841","U843",30,"M","Grad",FALSE,TRUE,35,5,13,60,-5
"842","U844",27,"F","Univ",FALSE,TRUE,34,4,7,58,-2
"843","U845",30,"M","Univ",FALSE,TRUE,32,2,11,61,-12
"844","U846",21,"M","GradO",FALSE,TRUE,30,3,13,51,5
"845","U847",29,"M","High",FALSE,TRUE,35,1,9,57,-7
"846","U848",20,"F","Univ",FALSE,TRUE,32,5,8,51,3
"847","U849",35,"M","High",FALSE,TRUE,30,4,10,58,-6
"848","U850",35,"F","High",FALSE,TRUE,25,2,14,51,-4
